property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,furnishing_type,luxury_category,total_rooms,floor_category,price
0,40,3.0,2.0,2.0,1.0,852.0,0.0,0.0,0.0,0.0,1,1.0,7.0,1.0,0.82
0,101,2.0,2.0,2.0,1.0,1241.0,1.0,1.0,0.0,0.0,1,1.0,8.0,2.0,0.95
0,111,2.0,2.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,1,1.0,5.0,0.0,0.32
0,105,3.0,4.0,3.0,3.0,1615.0,0.0,1.0,0.0,0.0,2,0.0,12.0,2.0,1.6
0,4,2.0,2.0,1.0,3.0,583.0,0.0,0.0,1.0,0.0,1,0.0,6.0,2.0,0.48
0,1,4.0,4.0,3.0,1.0,4812.0,0.0,1.0,0.0,1.0,2,1.0,14.0,0.0,7.5
0,10,3.0,3.0,3.0,3.0,2103.0,0.0,1.0,0.0,0.0,1,2.0,10.0,0.0,2.0
0,4,3.0,4.0,3.0,3.0,1699.0,0.0,1.0,0.0,0.0,1,0.0,11.0,2.0,1.9
1,7,3.0,2.0,1.0,2.0,1185.51,0.0,0.0,0.0,0.0,1,1.0,6.0,1.0,1.2
1,31,3.0,3.0,2.0,0.0,1350.0,1.0,1.0,0.0,0.0,1,2.0,10.0,1.0,4.5
1,11,3.0,2.0,0.0,3.0,2360.0,0.0,0.0,0.0,0.0,1,1.0,5.0,1.0,1.55
0,33,2.0,2.0,2.0,3.0,1238.0,0.0,0.0,0.0,0.0,1,2.0,6.0,2.0,1.6
0,11,3.0,4.0,3.0,3.0,2325.0,0.0,1.0,0.0,0.0,1,2.0,11.0,0.0,2.25
0,73,4.0,4.0,3.0,3.0,2222.0,1.0,1.0,0.0,0.0,0,0.0,13.0,2.0,2.77
1,18,2.0,4.0,2.0,3.0,846.0,0.0,0.0,0.0,1.0,2,1.0,9.0,1.0,1.2
0,105,3.0,4.0,3.0,3.0,1794.0,0.0,1.0,0.0,0.0,2,2.0,11.0,0.0,1.55
0,97,2.0,2.0,3.0,3.0,1638.0,0.0,0.0,1.0,0.0,1,0.0,8.0,2.0,1.09
0,81,2.0,2.0,3.0,1.0,1400.0,0.0,0.0,0.0,1.0,1,2.0,8.0,2.0,1.15
